2012 Rank Order,1980 Rank Order,Question and Correct Response,Probability of Recall,,,Response Latency,,Proportion of Errors,,Confidence Judgments,,,,Peer Judgments,,Judge Corrs
32,34,WHAT IS THE NAME OF THE BIRD THAT CANNOT FLY AND IS THE LARGEST BIRD ON EARTH? (OSTRICH)b,0.603,132,87,11.7,14.4,0.29,0.11,69.2,79.1,48.5,63,62.8,221,.68*
33,63,WHAT IS THE NAME OF THE ISLAND-CITY BELIEVED SINCE ANTIQUITY TO HAVE SUNK INTO THE OCEAN? (ATLANTIS),0.593,86,59,11.7,16.4,0.06,0.34,78.5,85.1,15.4,9,57.6,147,.85*
34,88,WHAT IS THE NAME OF THE LIZARD THAT CHANGES ITS COLOR TO MATCH THE SURROUNDINGS? (CHAMELEON),0.589,126,88,11.3,13.2,0.34,0.07,70.4,85.1,45,73,68.4,218,.69*
35,35,WHAT IS THE NAME OF THE THICK LAYER OF FAT ON A WHALE? (BLUBBER)b,0.572,79,59,6.2,9,0.17,0.26,73.4,85.5,32,23,56,139,.87*
36,49,WHAT IS THE LAST NAME OF THE BASEBALL PLAYER WHO HAD THE MOST HOME RUNS IN A SINGLE SEASON PRIOR TO 1961? (RUTH)b,0.568,84,64,12.3,16.8,0.1,0.33,48.6,49.6,43.1,15,46.8,151,.44*
37,59,WHAT IS THE NAME OF A YOUNG SHEEP? (LAMB),0.561,83,65,7.8,11.8,0.22,0.22,71.6,87.2,32.5,33,65.6,149,.74*
38,65,WHAT IS THE LARGEST PLANET IN THE SOLAR SYSTEM? (JUPITER),0.559,80,63,8.1,10.9,0.38,0.06,68.4,81,50,55,69.3,144,.75*
39,52,WHAT IS THE NAME OF THE NAVIGATION INSTRUMENT USED AT SEA TO PLOT POSITION RELATIVE TO THE MAGNETIC NORTH POLE? (COMPASS),0.526,103,93,11.7,15.9,0.14,0.34,61.2,68.2,34.4,27,47.5,204,.84*
40,75,WHAT IS THE TERM IN GOLF REFERRING TO A SCORE OF ONE UNDER PAR ON A PARTICULAR HOLE? (BIRDIE),0.523,81,74,12.2,17.6,0.16,0.32,60.2,66.9,38.7,25,49.9,158,.54*
41,77,WHICH GAME USES A RUBBER BALL AND LITTLE METAL PIECES? (JACKS),0.521,75,69,9.8,22.4,0.15,0.33,69.2,84,16.4,21,52.7,145,.70*
42,47,WHAT IS THE NAME OF A DRIED PLUM? (PRUNE)b,0.517,76,71,7.7,10.7,0.27,0.21,65.2,79.3,38.3,40,58.5,147,.61*
43,40,IN WHICH SPORT DOES A RIDER ON HORSEBACK HIT A BALL WITH HIS MALLET? (POLO)b,0.51,106,102,9.8,17.4,0.2,0.29,69.5,85.7,28.7,42,55.7,212,.71*
44,78,WHAT IS THE NAME OF THE LEGENDARY ONE-EYED GIANT IN GREEK MYTHOLOGY? (CYCLOPS),0.507,107,104,9.1,13.1,0.11,0.38,74.6,85,26,23,53.9,215,.71*
45,36,IN WHAT PARK IS “OLD FAITHFUL” LOCATED? (YELLOWSTONE)b,0.491,105,109,9.7,13.5,0.17,0.34,62,76.8,20,37,48,220,.75*
46,51,WHAT IS THE NAME OF THE POKER HAND IN WHICH ALL OF THE CARDS ARE OF THE SAME SUIT? (FLUSH)b,0.486,68,72,14.6,16.1,0.25,0.26,54.6,64.8,34.8,35,53.9,141,.39*
47,90,IN WHICH SPORT IS THE STANLEY CUP AWARDED? (HOCKEY),0.481,103,111,5.8,9.2,0.42,0.1,69.7,87.7,49,89,63.8,216,.72*
48,89,WHAT IS THE NAME OF THE CHAPEL WHOSE CEILING WAS PAINTED BY MICHELANGELO? (SISTINE),0.475,67,74,12.7,17.7,0.16,0.37,73.2,83.6,41.5,22,53.4,142,.67*
49,241,OF WHICH COUNTRY IS BAGHDAD THE CAPITAL? (IRAQ)a,0.468,59,67,9.8,12.6,0.4,0.13,60.3,68.5,51.9,50,63.3,128,.58*
50,76,WHAT IS THE NAME OF THE LIQUID PORTION OF WHOLE BLOOD? (PLASMA),0.468,94,107,10.3,12.7,0.17,0.36,47.4,53.9,29.2,34,38,206,.56*
51,55,WHAT IS THE NAME OF THE CITY IN ITALY THAT IS KNOWN FOR ITS CANALS? (VENICE)b,0.459,67,79,9.3,10.5,0.26,0.28,65.4,82,36.1,38,54.3,148,.72*
52,21,WHAT IS THE NAME OF THE SPEAR LIKE OBJECT THAT IS THROWN DURING A TRACK MEET? (JAVELIN)b,0.452,71,86,10.5,19.4,0.29,0.25,68,85.6,40.8,46,59,158,.39*
53,23,WHAT IS THE LAST NAME OF THE MAN WHO RODE HORSEBACK IN 1775 TO WARN THAT THE BRITISH WERE COMING? (REVERE)b,0.443,66,83,13.3,14.8,0.12,0.44,72.1,85.2,24.1,18,55.1,150,.67*
54,32,WHO WAS THE EGYPTIAN QUEEN WHO JOINED FORCES WITH MARK ANTONY OF ROME? (CLEOPATRA)b,0.443,93,117,11,19.4,0.13,0.43,57.3,70.4,12.3,27,39.1,215,.73*
55,67,WHAT IS THE LAST NAME OF THE MAN WHO ASSASSINATED ABRAHAM LINCOLN? (BOOTH)b,0.438,63,81,10.5,15.8,0.2,0.36,68.8,90,23.5,29,58.9,144,.65*
56,20,WHAT IS THE LAST NAME OF THE MAN WHO SHOWED THAT LIGHTNING IS ELECTRIC? (FRANKLIN)b,0.437,93,120,11.6,11.5,0.34,0.22,64.7,75.5,51,73,57.9,217,.67*
57,28,WHAT IS THE LAST NAME OF THE FAMOUS MAGICIAN AND ESCAPE ARTIST WHO DIED OF APPENDICITIS? (HOUDINI)b,0.436,95,123,12.8,16.9,0.06,0.5,52.5,58.7,10.7,14,37.3,225,.73*
58,83,WHAT IS THE NAME OF DEER MEAT? (VENISON)b,0.432,64,84,10.4,11.5,0.3,0.27,65.8,88.6,32.5,44,54,149,.59*
59,45,WHAT IS THE NAME OF THE LARGE HAIRY SPIDER THAT LIVES NEAR BANANAS? (TARANTULA)b,0.429,63,84,13.8,15.9,0.14,0.43,42.8,48.8,24.7,21,36.5,149,.62*
60,82,WHAT IS THE NAME OF THE OCEAN THAT IS LOCATED BETWEEN AFRICA AND AUSTRALIA? (INDIAN)b,0.427,90,121,12.9,15.8,0.47,0.1,52,67.4,38.1,99,57.6,216,.62*
61,27,WHAT IS THE LAST NAME OF THE SINGER WHO RECORDED “HEARTBREAK HOTEL” AND “ALL SHOOK UP”? (PRESLEY)b,0.424,61,83,11.5,12.4,0.21,0.37,72.5,80.9,55.3,30,52.5,146,.77*
62,81,WHAT IS THE NAME OF THE CRIME IN WHICH A PERSON PURPOSELY BETRAYS HIS COUNTRY? (TREASON)b,0.418,61,85,12,21.6,0.2,0.38,63.9,83.5,22.7,29,56.3,148,.62*
63,109,WHAT IS THE NAME OF THE FIRST ARTIFICIAL SATELLITE PUT IN ORBIT BY RUSSIA IN 1957? (SPUTNIK),0.417,58,81,9.9,19.8,0.08,0.5,68.3,79.2,11.1,11,46,140,.62*
64,127,WHAT BRAND OF CIGARETTE WAS FIRST TO HAVE THE FLIP-TOP BOX? (MARLBORO),0.399,55,83,10.8,10,0.32,0.28,27.8,26.7,29.3,44,31.8,140,.32*
65,29,WHAT KIND OF METAL IS ASSOCIATED WITH A 50TH WEDDING ANNIVERSARY? (GOLD)b,0.396,57,87,8.5,11.4,0.38,0.23,48,62.2,33,54,45.7,144,.73*
66,39,WHICH TYPE OF SNAKE DO ASIAN SNAKE-CHARMERS USE? (COBRA)b,0.391,54,84,9.7,10.3,0.28,0.33,60,74.8,39.5,39,40.9,140,.61*
67,42,WHAT IS THE ONLY LIQUID METAL AT ROOM TEMPERATURE? (MERCURY)b,0.388,83,131,9.5,20.2,0.21,0.41,49.6,66.6,17.6,44,40.9,220,.65*
68,56,WHAT IS THE NAME OF THE DESERT PEOPLE WHO WANDER INSTEAD OF LIVING IN ONE PLACE? (NOMADS)b,0.352,74,136,12.1,21.7,0.29,0.36,47.4,69.1,20.7,60,36.1,216,.72*
69,121,WHAT IS THE CAPITAL OF NEW YORK? (ALBANY),0.331,49,99,12.8,16.6,0.51,0.16,68.2,89,54.6,75,66.1,153,.54*
70,101,WHAT IS THE NAME OF THE ORGAN THAT PRODUCES INSULIN? (PANCREAS)b,0.327,49,101,13.8,21.1,0.46,0.21,54.1,78.1,37,69,49.5,151,.63*
71,140,WHAT IS THE NAME OF THE COLLAR BONE? (CLAVICLE),0.324,70,146,8.6,13.7,0.22,0.46,57.4,78.6,25.7,47,39.6,222,.56*
72,104,WHAT IS THE NAME OF THE EXTINCT REPTILES KNOWN AS “TERRIBLE LIZARDS”? (DINOSAURS)b,0.315,63,137,11.2,15.1,0.18,0.51,32.5,42.8,14,35,28.7,207,.76*
73,54,WHAT IS THE CAPITAL OF RUSSIA? (MOSCOW)b,0.309,64,143,7.6,14.3,0.09,0.6,66.7,79.7,20.4,18,41.7,210,.77*
74,62,WHICH BREED OF CAT HAS BLUE EYES? (SIAMESE)b,0.308,66,148,9.4,8.2,0.24,0.45,48.5,59.1,34.8,51,33.3,217,.68*
75,102,WHAT IS THE LAST NAME OF THE SECOND U.S. PRESIDENT? (ADAMS)b,0.303,63,145,10,12.7,0.41,0.29,46.5,61,35.8,85,54.6,215,.43*
76,152,WHAT IS THE NAME OF THE CONSTELLATION THAT LOOKS LIKE A FLYING HORSE? (PEGASUS),0.3,64,149,9.6,12.5,0.22,0.48,47,64.6,22.7,46,33.7,216,.71*
77,106,WHAT IS THE NAME OF THE KIND OF CAT THAT SPOKE TO ALICE IN THE STORY “ALICE’S ADVENTURES IN WONDERLAND”? (CHESHIRE)b,0.3,63,147,10.4,16.8,0.3,0.4,51.3,84.9,18.3,64,47.3,213,.71*
78,64,WHAT IS THE LAST NAME OF THE MAN WHO PROPOSED THE THEORY OF RELATIVITY? (EINSTEIN)b,0.297,68,161,9.9,11.8,0.21,0.49,53.8,65.3,37.2,47,43.3,232,.81*
79,58,WHAT WAS THE LAST NAME OF THE WOMAN WHO SUPPOSEDLY DESIGNED AND SEWED THE FIRST AMERICAN FLAG? (ROSS)b,0.286,62,155,8,14,0.24,0.48,60.9,87.6,28.5,51,43,225,.68*
80,124,WHAT IS THE LAST NAME OF THE FIRST SIGNER OF THE “DECLARATION OF INDEPENDENCE”? (HANCOCK),0.285,65,163,11.7,12.2,0.44,0.27,49.5,64.1,40.1,101,49,233,.68*
81,187,WHAT WAS THE NAME OF KING ARTHUR’S SWORD? (EXCALIBUR),0.285,41,103,10,9.3,0.12,0.6,71.1,92.1,20.4,17,42.8,145,.86*
82,61,WHAT IS THE WORD THAT MEANS A NAUTICAL MILE PER HOUR? (KNOT)b,0.277,39,102,11.8,17.8,0.27,0.45,51.6,69,33.7,38,39.5,142,.75*
83,70,WHAT IS THE NAME FOR THE ASTRONOMICAL BODIES THAT ENTER THE EARTH’S ATMOSPHERE? (METEORS)b,0.271,54,145,14.8,16.4,0.43,0.3,46.6,48.7,45.3,86,45.7,205,.58*
84,87,WHAT IS THE LONGEST RIVER IN SOUTH AMERICA? (AMAZON)b,0.267,40,110,9.8,9.3,0.29,0.44,57.9,79.9,38,44,45.3,152,.75*
85,86,WHAT IS THE NAME OF THE AUTOMOBILE INSTRUMENT THAT MEASURES MILEAGE? (ODOMETER)b,0.258,54,155,13.2,16.2,0.39,0.35,51.1,77.6,33.5,81,55.5,213,.59*
86,145,WHAT ITALIAN CITY WAS DESTROYED WHEN MOUNT VESUVIUS ERUPTED IN 79 A.D.? (POMPEII),0.258,41,118,9.9,12.9,0.26,0.48,53.9,87,20.8,41,37,159,.70*
87,115,WHAT IS THE LAST NAME OF BATMAN’S SECRET IDENTITY IN THE BATMAN COMICS? (WAYNE)b,0.252,35,104,11,19,0.18,0.57,68,93.9,31.7,25,54.5,141,.78*
88,66,WHAT IS THE LAST NAME OF THE MYTHICAL GIANT LUMBERJACK? (BUNYAN)b,0.245,51,157,14.1,13.1,0.23,0.53,58.2,88.9,24.8,47,40.6,212,.72*
89,199,WHAT IS THE NAME OF THE COMPANY THAT PRODUCES “BABY RUTH” CANDY BARS? (NESTLE),0.245,34,105,10.7,10.2,0.39,0.37,42.8,45.1,41.3,54,44,140,.59*
90,103,WHAT IS THE NAME OF SOCRATES’ MOST FAMOUS STUDENT? (PLATO)b,0.239,34,108,14.7,12,0.35,0.42,46.3,55.2,40,49,38.9,142,.57*
91,111,WHAT IS THE NAME OF THE THREE-LEAF CLOVER THAT IS THE EMBLEM OF IRELAND? (SHAMROCK)b,0.239,33,105,10.9,16.1,0.25,0.51,55.9,84.4,28.1,34,47.4,139,.82*
92,110,OF WHICH COUNTRY IS BUENOS AIRES THE CAPITAL? (ARGENTINA)b,0.204,44,172,10.1,12.6,0.5,0.29,43.4,70.3,32.6,109,40.4,219,.66*
93,60,WHAT IS THE LAST NAME OF THE ACTRESS WHO RECEIVED THE BEST ACTRESS AWARD FOR THE MOVIE “MARY POPPINS”? (ANDREWS)b,0.203,43,169,11.5,14.3,0.14,0.66,58.9,87.3,18.2,30,39.3,218,.73*
94,126,WHAT IS THE NAME OF THE MOUNTAIN RANGE IN WHICH MOUNT EVEREST IS LOCATED? (HIMALAYAS)b,0.198,41,166,13.8,14.3,0.34,0.46,42.6,64.4,30,71,43.4,213,.68*
95,80,WHAT IS THE UNIT OF SOUND INTENSITY? (DECIBEL)b,0.19,40,171,8.8,14.2,0.51,0.3,46.1,73.1,36.1,108,41,218,.70*
96,207,WHAT IS THE NAME OF THE PROJECT WHICH DEVELOPED THE ATOMIC BOMB DURING WORLD WAR II? (MANHATTAN),0.188,27,117,11.5,16.9,0.14,0.67,57.5,86.8,18,20,42.3,144,.71*
97,99,WHAT IS THE UNIT OF ELECTRICAL POWER THAT REFERS TO A CURRENT OF ONE AMPERE AT ONE VOLT? (WATT)b,0.187,26,113,12.6,15.6,0.32,0.49,41.6,59.7,31.1,45,37,140,.61*
98,132,WHAT IS THE LAST NAME OF THE AUTHOR OF THE BOOK “1984”? (ORWELL)b,0.185,37,163,12.9,13,0.15,0.67,66,90.5,34.7,29,34.5,204,.65*
99,69,IN WHICH GAME ARE MEN CROWNED? (CHECKERS)b,0.176,25,117,12.9,17.6,0.32,0.5,39.6,64,26.4,46,33.9,143,.71*
100,97,WHAT IS THE LAST NAME OF THE MAN WHO ASSASSINATED PRESIDENT JOHN F. KENNEDY? (OSWALD)b,0.172,25,120,14.8,19.1,0.26,0.57,55,83.9,35.4,37,52.7,147,.47*
101,137,WHAT IS THE NAME OF BATMAN’S BUTLER? (ALFRED)b,0.163,23,118,11.4,13.4,0.31,0.52,51.8,93,30.2,44,50.6,142,.74*
102,117,WHICH COUNTRY WAS THE FIRST TO USE GUNPOWDER? (CHINA)b,0.16,23,121,8.8,11.2,0.53,0.31,38.9,73.5,28.5,77,38.6,144,.69*
103,14,WHAT IS THE NAME OF AN AIRPLANE WITHOUT AN ENGINE? (GLIDER)b,0.157,30,161,11.8,13.7,0.29,0.55,33.9,55.8,22.2,56,29.1,196,.58*
104,178,WHAT IS THE NAME OF THE NORTH STAR? (POLARIS),0.156,32,173,6.5,10.6,0.21,0.63,44.5,81.8,16.6,43,38.1,214,.71*
105,159,WHAT IS THE ONLY WORD THAT THE RAVEN SAYS IN EDGAR ALLEN POE’S POEM “THE RAVEN”? (NEVERMORE),0.155,24,131,11.2,17.2,0.37,0.48,38.8,91.3,16.7,57,35.6,156,.66*
106,46,FOR WHICH COUNTRY IS THE YEN THE MONETARY UNIT? (JAPAN)b,0.152,33,184,7.1,9.1,0.62,0.23,54,75.5,48.7,134,45,222,.70*
107,139,IN WHAT EUROPEAN CITY IS THE PARTHENON LOCATED? (ATHENS)b,0.15,25,142,8.4,13,0.4,0.45,51.2,76.8,41.7,67,40.3,169,.68*
108,113,WHAT IS THE NAME OF THE FURRY ANIMAL THAT ATTACKS COBRA SNAKES? (MONGOOSE)b,0.149,20,114,8,16.4,0.36,0.49,46.4,89.7,28.3,48,33.3,136,.61*
109,166,FOR WHICH COUNTRY IS THE RUPEE THE MONETARY UNIT? (INDIA),0.147,31,180,8.6,13.3,0.27,0.58,35.7,71.1,16.8,58,24.5,216,.75*
110,154,WHAT IS THE LAST NAME OF THE MAN WHO FIRST STUDIED GENETIC INHERITANCE IN PLANTS? (MENDEL),0.144,30,179,9.9,11.2,0.21,0.65,49.5,85.2,24.6,43,29.2,217,.63*
111,107,WHAT IS THE LAST NAME OF THE MAN WHO WROTE THE “STAR SPANGLED BANNER”? (KEY)b,0.141,20,122,8.9,14.8,0.22,0.64,46.2,85,21.1,31,42.9,141,.77*
112,112,WHAT IS THE NAME OF THE PALACE IN LONDON IN WHICH THE MONARCH OF ENGLAND RESIDES? (BUCKINGHAM)b,0.141,29,177,16,19.4,0.2,0.66,46,72.9,26.9,41,32.9,211,.62*
113,125,IN WHICH GAME ARE THE STANDARD PIECES OF STAUNTON DESIGN? (CHESS)b,0.138,21,131,14.2,16.1,0.14,0.72,20,30.5,10,22,21.4,154,.53*
114,206,WHAT ARE PEOPLE WHO MAKE MAPS CALLED? (CARTOGRAPHERS),0.138,29,181,9.3,12.4,0.41,0.45,34.1,73.2,20.8,86,32,216,.61*
115,94,WHAT WAS THE NAME OF THE ZEPPELIN THAT EXPLODED IN LAKEHURST N.J. IN 1937? (HINDENBURG)b,0.134,29,188,20.2,12.5,0.13,0.74,40.6,68.8,11.3,28,24,223,.64*
116,167,WHAT IS THE PALACE BUILT IN FRANCE BY KING LOUIS XIV? (VERSAILLES),0.128,17,116,10.1,13.1,0.16,0.71,40.7,71.1,16.2,21,29.4,134,.38*
117,114,IN WHICH CITY IS THE U.S. NAVAL ACADEMY LOCATED? (ANNAPOLIS)b,0.127,27,185,11.3,20.4,0.37,0.5,39,75.6,26.4,79,37.8,216,.61*
118,72,WHAT IS THE NAME OF THE LIGHTEST WOOD KNOWN? (BALSA)b,0.125,26,182,9,11.9,0.45,0.43,32.8,48.3,28.5,93,28.5,216,.66*
119,31,WHAT IS THE LAST NAME OF THE BOXER WHO LATER BECAME KNOWN AS MUHAMMAD ALI? (CLAY)b,0.117,17,128,10.6,13.1,0.25,0.63,45.1,94.9,21.6,36,46.1,146,.69*
120,119,WHAT ISLAND IS THE LARGEST IN THE WORLD EXCLUDING AUSTRALIA? (GREENLAND)b,0.111,16,128,15.4,18.7,0.6,0.28,34.3,51.3,31.1,87,41,144,.55*
121,71,WHAT IS THE NAME OF THE SMALL JAPANESE STOVE USED FOR OUTDOOR COOKING? (HIBACHI)b,0.11,16,129,11.9,10.3,0.32,0.57,38.2,60.3,30.5,46,31.8,146,.65*
122,105,WHAT IS THE LAST NAME OF THE WOMAN WHO BEGAN THE PROFESSION OF NURSING? (NIGHTINGALE)b,0.108,16,132,13.4,10.6,0.14,0.75,41.9,66.9,22.8,21,26.9,148,.66*
123,175,WHO WAS THE LEADER OF THE ARGONAUTS? (JASON),0.107,15,125,5,11.6,0.07,0.82,52.2,81.6,8.2,10,23.5,141,.69*
124,214,WHAT IS THE LAST NAME OF THE ARTIST WHO PAINTED “GUERNICA”? (PICASSO),0.107,21,176,11.5,11.7,0.16,0.73,30.8,56.6,13.8,32,20.8,203,.74*
125,177,IN WHAT ANCIENT CITY WERE THE “HANGING GARDENS” LOCATED? (BABYLON),0.103,14,122,16.8,13.8,0.38,0.51,36,67.9,27.4,52,30,136,.60*
126,200,WHAT ARE PEOPLE CALLED WHO EXPLORE CAVES? (SPELUNKERS),0.1,21,188,14.7,12.6,0.44,0.45,27.7,61.2,20.1,93,30.8,214,.53*
127,168,WHAT IS THE NAME OF THE CAPTAIN OF THE PEQUOD IN THE BOOK “MOBY DICK”? (AHAB),0.097,20,187,11.7,12,0.19,0.71,41.3,90.9,16.6,40,33.4,212,.59*
128,258,WHAT IS THE CAPITAL OF KENTUCKY? (FRANKFORT),0.095,19,182,18.6,14.2,0.34,0.57,48.8,78.4,40.6,68,44.3,205,.56*
129,85,WHAT IS THE NAME OF AN ILLEGAL MOVE BY A BASEBALL PITCHER THAT RESULTS IN ALL RUNNERS ADVANCING ONE BASE? (BALK)b,0.093,14,136,10,22.1,0.45,0.45,53.9,95.7,45.3,68,51.7,152,.51*
130,129,WHAT IS THE LAST NAME OF THE AMERICAN WHO STARRED IN THE 1936 OLYMPICS? (OWENS)b,0.093,14,136,12.1,11.6,0.17,0.74,31.2,58.6,15.8,25,22.9,149,.59*
131,174,THE DEEPEST PART OF THE OCEAN IS LOCATED AT WHICH TRENCH? (MARIANA),0.093,19,185,11.2,13.2,0.29,0.61,29.4,70.1,16.6,60,26.4,208,.62*
132,169,WHICH SPORT USES THE TERMS “STONES” AND “BROOMS”? (CURLING),0.092,13,128,19.3,14.7,0.48,0.43,37.3,74.6,30,67,36.8,142,.61*
133,182,WHAT IS THE PROPER NAME FOR A BADMINTON BIRD? (SHUTTLECOCK),0.091,20,200,9.8,10,0.49,0.42,49.6,88.5,42.4,108,37.1,225,.72*
134,128,WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE “OLIVER TWIST”? (DICKENS)b,0.09,20,203,9.2,14,20,0.71,43.2,87.5,23,44,35.1,229,.64*
